CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,TRANSECT,CWDID,MEASYEAR,CONDID,SLOPDIST,HORIZ_DIST,SPCD,DECAYCD,TRANSDIA,SMALLDIA,LARGEDIA,LENGTH,HOLLOWCD,CWDHSTCD,VOLCF,DRYBIO,CARBON,COVER_PCT,LPA_UNADJ,LPA_PLOT,LPA_COND,LPA_UNADJ_RGN,LPA_PLOT_RGN,LPA_COND_RGN,COVER_PCT_RGN,CHARRED_CD,ORNTCD_PNWRS,CREATED_DATE,MODIFIED_DATE,CWD_SAMPLE_METHOD,HOLLOW_DIA,HORIZ_DIST_CD,INCLINATION,LARGE_END_DIA_CLASS,LENGTH_CD,VOLCF_AC_UNADJ,VOLCF_AC_PLOT,VOLCF_AC_COND,DRYBIO_AC_UNADJ,DRYBIO_AC_PLOT,DRYBIO_AC_COND,CARBON_AC_UNADJ,CARBON_AC_PLOT,CARBON_AC_COND
76457474010538,59780449010538,2001,39,1,561,1,150,1.0,2001,1,16.0,16.0,998.0,4,3,3,4,4,N,3,0.27270833333333333,3.7165128,1.8248077848,0.23861979166666666,89.0938125,89.0938125,89.0938125,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,24.2966251171875,24.2966251171875,24.2966251171875,331.11829455705,331.11829455705,331.11829455705,162.57908262751155,162.57908262751155,162.57908262751155
76457478010538,59780449010538,2001,39,1,561,3,150,1.0,2001,1,11.3,11.243920249373,316.0,3,3,3,5,12,N,1,1.11265,19.8338852712,9.7384376681592,0.27270833333333333,29.6979375,29.6979375,29.6979375,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,33.043410159375,33.043410159375,33.043410159375,589.0254851662681,589.0254851662681,589.0254851662681,289.2115132166377,289.2115132166377,289.2115132166377
76457891010538,59781089010538,2001,39,7,120,1,150,1.0,2001,1,9.5,9.5,316.0,3,5,5,5,4,N,2,0.5454166666666667,9.72249278,4.77374395498,0.34088541666666666,89.0938125,89.0938125,89.0938125,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,48.593250234375,48.593250234375,48.593250234375,866.2139487739238,866.2139487739238,866.2139487739238,425.3110488479966,425.3110488479966,425.3110488479966
76457893010538,59781089010538,2001,39,7,120,4,270,1.0,2001,1,19.4,19.4,371.0,3,6,3,6,14,N,2,1.7180625,41.86437255,20.55540692205,0.306796875,25.455375,25.455375,25.455375,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,43.7339252109375,43.7339252109375,43.7339252109375,1065.6733023999564,1065.6733023999564,1065.6733023999564,523.2455914783785,523.2455914783785,523.2455914783785
76457894010538,59781089010538,2001,39,7,120,4,270,2.0,2001,1,21.2,21.2,371.0,3,5,3,6,12,N,2,1.472625,35.8837479,17.6189202189,0.306796875,29.6979375,29.6979375,29.6979375,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,43.7339252109375,43.7339252109375,43.7339252109375,1065.6733023999564,1065.6733023999564,1065.6733023999564,523.2455914783785,523.2455914783785,523.2455914783785
76457895010538,59781089010538,2001,39,7,120,4,270,3.0,2001,1,21.8,21.8,371.0,3,5,3,6,11,N,2,1.34990625,32.893435575,16.150676867325,0.306796875,32.39775,32.39775,32.39775,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,43.7339252109375,43.7339252109375,43.7339252109375,1065.6733023999564,1065.6733023999564,1065.6733023999564,523.2455914783785,523.2455914783785,523.2455914783785
76457896010538,59781089010538,2001,39,7,120,4,270,4.0,2001,1,22.8,22.8,371.0,3,5,3,6,15,N,2,1.84078125,44.854684875,22.023650273625,0.306796875,23.75835,23.75835,23.75835,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,43.7339252109375,43.7339252109375,43.7339252109375,1065.6733023999564,1065.6733023999564,1065.6733023999564,523.2455914783785,523.2455914783785,523.2455914783785
76457546010538,59784375010538,2001,39,25,401,2,30,1.0,2001,1,5.0,5.0,403.0,3,3,3,7,37,N,2,5.852320833333334,108.45989154,53.25380674614,0.4545138888888889,9.631763513513514,9.631763513513514,12.84235135135135,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,56.368170271875,56.368170271875,75.1575603625,1044.660026014605,1044.660026014605,1392.88003468614,512.928072773171,512.928072773171,683.9040970308947
76457547010538,59784375010538,2001,39,25,401,2,30,2.0,2001,1,14.0,14.0,998.0,4,3,3,3,7,N,1,0.3436125,4.682806128,2.299257808848,0.27270833333333333,50.91075,50.91075,67.881,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,17.493570084375,17.493570084375,23.3247601125,238.405172081076,238.405172081076,317.873562774768,117.05693949180832,117.05693949180832,156.0759193224111
76457543010538,59784375010538,2001,39,25,401,2,150,1.0,2001,1,3.2,3.2,403.0,2,3,3,8,32,N,2,6.370466666666666,204.641813376,100.479130367616,0.4999652777777778,11.1367265625,11.1367265625,14.84896875,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,70.9461453421875,70.9461453421875,94.59486045625,2279.039918822667,2279.039918822667,3038.719891763556,1119.0086001419295,1119.0086001419295,1492.011466855906
76457544010538,59784375010538,2001,39,25,401,2,150,2.0,2001,1,12.0,12.0,403.0,2,3,3,8,37,N,2,7.365852083333333,236.617096716,116.178994487556,0.4999652777777778,9.631763513513514,9.631763513513514,12.84235135135135,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,70.9461453421875,70.9461453421875,94.59486045625,2279.039918822667,2279.039918822667,3038.719891763556,1119.0086001419295,1119.0086001419295,1492.011466855906
76457545010538,59784375010538,2001,39,25,401,2,150,3.0,2001,1,14.8,14.8,998.0,3,6,3,7,46,N,1,7.275858333333334,106.23917304,52.16343396264,0.4545138888888889,7.747288043478261,7.747288043478261,10.329717391304348,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,56.368170271875,56.368170271875,75.1575603625,823.06547504181,823.06547504181,1097.42063338908,404.1251482455287,404.1251482455287,538.8335309940383
76457909010538,59785584010538,2001,39,35,575,2,30,1.0,2001,1,5.4,5.4,318.0,3,4,3,4,13,N,1,0.8863020833333334,21.9893674,10.7967793934,0.23861979166666666,27.41348076923077,27.41348076923077,27.41348076923077,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:15,9,,,,,,24.2966251171875,24.2966251171875,24.2966251171875,602.80510034745,602.80510034745,602.80510034745,295.9773042705979,295.9773042705979,295.9773042705979
76457906010538,59785584010538,2001,39,35,575,2,150,1.0,2001,1,7.0,7.0,316.0,1,6,3,11,52,N,1,18.435083333333335,542.815277004,266.522301008964,0.47723958333333333,6.853370192307692,6.853370192307692,6.853370192307692,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:15,9,,,,,,126.342450609375,126.342450609375,126.342450609375,3720.1140393484566,3720.1140393484566,3720.1140393484566,1826.5759933200923,1826.5759933200923,1826.5759933200923
76457907010538,59785584010538,2001,39,35,575,2,150,2.0,2001,1,1.6,1.6,318.0,3,5,3,5,21,N,1,1.9471375,48.308948688,23.719693805808,0.27270833333333333,16.97025,16.97025,16.97025,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:15,9,,,,,,33.043410159375,33.043410159375,33.043410159375,819.814936472532,819.814936472532,819.814936472532,402.5291338080132,402.5291338080132,402.5291338080132
76457908010538,59785584010538,2001,39,35,575,2,150,3.0,2001,1,22.1,22.1,318.0,3,4,4,7,35,N,1,6.204114583333333,153.9255718,75.5774557538,0.37497395833333336,10.18215,10.18215,10.18215,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:15,9,,,,,,63.1712253046875,63.1712253046875,63.1712253046875,1567.29326090337,1567.29326090337,1567.29326090337,769.5409911035547,769.5409911035547,769.5409911035547
76457450010538,59787135010538,2001,39,53,778,3,30,1.0,2001,1,10.8,10.746401654268,999.0,3,4,4,5,6,N,1,0.6708625,9.79566588,4.95660693528,0.306796875,59.395875,59.395875,59.395875,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,39.8464651921875,39.8464651921875,39.8464651921875,581.822146150245,581.822146150245,581.822146150245,294.40200595202396,294.40200595202396,294.40200595202396
76457434010538,59787135010538,2001,39,53,778,1,150,1.0,2001,1,23.8,23.8,802.0,2,3,3,10,24,N,2,7.13405,199.255728672,97.834562777952,0.4431510416666667,14.84896875,14.84896875,14.84896875,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,105.9332855109375,105.9332855109375,105.9332855109375,2958.742088309007,2958.742088309007,2958.742088309007,1452.7423653597225,1452.7423653597225,1452.7423653597225
76457435010538,59787135010538,2001,39,53,778,1,150,2.0,2001,1,24.0,24.0,802.0,2,3,3,4,10,N,2,0.6817708333333333,19.042023,9.349633293,0.23861979166666666,35.637525,35.637525,35.637525,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,24.2966251171875,24.2966251171875,24.2966251171875,678.610570713075,678.610570713075,678.610570713075,333.1977902201198,333.1977902201198,333.1977902201198
76457448010538,59787135010538,2001,39,53,778,1,270,1.0,2001,1,8.0,8.0,802.0,3,3,3,5,16,N,1,1.4835333333333334,30.993266304,15.217693755264,0.27270833333333333,22.273453125,22.273453125,22.273453125,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,33.043410159375,33.043410159375,33.043410159375,690.327064212786,690.327064212786,690.327064212786,338.9505885284779,338.9505885284779,338.9505885284779
76457451010538,59787135010538,2001,39,53,778,4,270,1.0,2001,1,0.6,0.6,800.0,2,5,3,11,40,N,1,14.180833333333334,407.2236168,199.9467958488,0.47723958333333333,8.90938125,8.90938125,8.90938125,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,126.342450609375,126.342450609375,126.342450609375,3628.110456075105,3628.110456075105,3628.110456075105,1781.4022339328765,1781.4022339328765,1781.4022339328765
76457552010538,59788852010538,2001,39,61,506,2,30,1.0,2001,1,13.0,12.856172587288,998.0,4,6,3,8,38,N,1,7.5649291666666665,103.096065072,50.620167950352,0.43899390243902436,9.37829605263158,9.37829605263158,10.979468549422336,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,70.9461453421875,70.9461453421875,83.05890186402439,966.865420106586,966.865420106586,1131.9400040272226,474.7309212723337,474.7309212723337,555.7825419773663
76457549010538,59788852010538,2001,39,61,506,2,150,1.0,2001,1,6.4,6.4,,5,5,,,32,,,4.363333333333333,59.4642048,30.0888876288,0.39908536585365856,11.1367265625,11.1367265625,13.038118902439024,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,48.593250234375,48.593250234375,56.88965881097561,662.2365891141,662.2365891141,775.3013726213853,335.0917140917346,335.0917140917346,392.302494546421
76457550010538,59788852010538,2001,39,61,506,2,150,2.0,2001,1,10.0,10.0,318.0,4,4,3,6,30,N,1,3.6815625,57.891834,28.424890494,0.3591768292682927,11.879175,11.879175,13.907326829268293,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,43.7339252109375,43.7339252109375,51.20069292987805,687.70722715695,687.70722715695,805.1206561837463,337.66424853406244,337.66424853406244,395.3142421862195
76457558010538,59788852010538,2001,39,61,506,4,150,1.0,2001,1,0.5,0.485071250073,,5,3,,,11,,,0.5399625,7.358695344,3.723499844064,0.2394512195121951,32.39775,32.39775,37.929073170731705,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,17.493570084375,17.493570084375,20.48027717195122,238.405172081076,238.405172081076,279.10849414369875,120.63301707302446,120.63301707302446,141.22889803671157
76457559010538,59788852010538,2001,39,61,506,4,150,2.0,2001,1,8.0,7.761140001163,,5,3,,,9,,,0.4417875,6.020750736,3.046499872416,0.2394512195121951,39.59725,39.59725,46.35775609756097,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,17.493570084375,17.493570084375,20.48027717195122,238.405172081076,238.405172081076,279.10849414369875,120.63301707302446,120.63301707302446,141.22889803671157
76457560010538,59788852010538,2001,39,61,506,4,270,1.0,2001,1,2.1,2.1,541.0,4,14,3,16,60,N,1,43.360625,625.017393,306.883539963,0.7582621951219513,5.9395875,5.9395875,6.953663414634146,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,257.5442262421875,257.5442262421875,301.5151916981707,3712.3454947453874,3712.3454947453874,4346.160579214112,1822.7616379199853,1822.7616379199853,2133.964844394129
76457561010538,59788852010538,2001,39,61,506,4,270,2.0,2001,1,20.0,20.0,,5,5,,,14,,,1.9089583333333333,26.0155896,13.1638883376,0.39908536585365856,25.455375,25.455375,29.80141463414634,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,48.593250234375,48.593250234375,56.88965881097561,662.2365891141,662.2365891141,775.3013726213853,335.0917140917346,335.0917140917346,392.302494546421
76457687010538,59789167010538,2001,39,67,363,1,270,1.0,2001,1,23.6,22.89536300343,,5,5,,,11,,,1.4998958333333334,20.4408204,10.3430551224,0.4545138888888889,32.39775,32.39775,43.197,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,48.593250234375,48.593250234375,64.7910003125,662.2365891141,662.2365891141,882.9821188188,335.0917140917346,335.0917140917346,446.7889521223128
76457533010538,59790455010538,2001,39,73,197,2,150,1.0,2001,1,9.7,9.41038225141,800.0,4,3,3,6,26,N,1,3.1906875,49.33670742,24.22432334322,0.306796875,13.706740384615385,13.706740384615385,13.706740384615385,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,43.7339252109375,43.7339252109375,43.7339252109375,676.2454400376675,676.2454400376675,676.2454400376675,332.03651105849474,332.03651105849474,332.03651105849474
76457534010538,59790455010538,2001,39,73,197,2,150,2.0,2001,1,20.0,19.402850002907,999.0,4,3,3,5,16,N,1,1.4835333333333334,20.217829632,10.230221793792,0.27270833333333333,22.273453125,22.273453125,22.273453125,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,33.043410159375,33.043410159375,33.043410159375,450.320880597588,450.320880597588,450.320880597588,227.86236558237954,227.86236558237954,227.86236558237954
76457535010538,59790455010538,2001,39,73,197,2,150,3.0,2001,1,20.7,20.081949753008,800.0,4,4,3,4,28,N,1,1.9089583333333333,29.5176882,14.4931849062,0.23861979166666666,12.7276875,12.7276875,12.7276875,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,24.2966251171875,24.2966251171875,24.2966251171875,375.6919111320375,375.6919111320375,375.6919111320375,184.4647283658304,184.4647283658304,184.4647283658304
76457536010538,59790455010538,2001,39,73,197,2,150,4.0,2001,1,22.6,21.925220503285,999.0,3,9,7,11,31,N,1,14.371729166666666,209.8502406,106.1842217436,0.61359375,11.495975806451613,11.495975806451613,11.495975806451613,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,165.217050796875,165.217050796875,165.217050796875,2412.43328891565,2412.43328891565,2412.43328891565,1220.691244191319,1220.691244191319,1220.691244191319
76457538010538,59790455010538,2001,39,73,197,3,150,1.0,2001,1,17.0,17.0,541.0,2,3,3,3,18,N,1,0.883575,23.65294932,11.61359811612,0.20453125,19.798625,19.798625,19.798625,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,17.493570084375,17.493570084375,17.493570084375,468.295873730685,468.295873730685,468.295873730685,229.93327400176634,229.93327400176634,229.93327400176634
76457531010538,59790455010538,2001,39,73,197,1,270,1.0,2001,1,10.3,9.865610737778,999.0,4,4,4,5,13,N,1,1.4535354166666667,19.809013224,10.023360691344,0.306796875,27.41348076923077,27.41348076923077,27.41348076923077,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,39.8464651921875,39.8464651921875,39.8464651921875,543.034003073562,543.034003073562,543.034003073562,274.7752055552224,274.7752055552224,274.7752055552224
76457540010538,59790455010538,2001,39,73,197,4,270,1.0,2001,1,20.7,19.827004104078,743.0,3,4,4,4,4,N,1,0.3490666666666667,3.52864512,1.73256475392,0.27270833333333333,89.0938125,89.0938125,89.0938125,,,,,,,2007-11-19 11:54:48,2025-01-13 08:35:14,9,,,,,,31.09968015,31.09968015,31.09968015,314.38044670032,314.38044670032,314.38044670032,154.36079932985712,154.36079932985712,154.36079932985712
76457695010538,59792161010538,2001,39,83,604,2,150,1.0,2001,1,15.6,15.522580167276,998.0,2,3,3,6,24,N,1,2.94525,74.54262816,36.60043042656,0.306796875,14.84896875,14.84896875,14.84896875,,,,,,,2007-11-19 11:54:49,2025-01-13 08:35:14,9,,,,,,43.7339252109375,43.7339252109375,43.7339252109375,1106.88115609071,1106.88115609071,1106.88115609071,543.4786476405386,543.4786476405386,543.4786476405386
76457696010538,59792161010538,2001,39,83,604,2,150,2.0,2001,1,22.8,22.686847936788,833.0,2,7,4,10,38,N,1,12.020983333333334,333.948687072,163.968805352352,0.47723958333333333,9.37829605263158,9.37829605263158,9.37829605263158,,,,,,,2007-11-19 11:54:49,2025-01-13 08:35:14,9,,,,,,112.73634054375,112.73634054375,112.73634054375,3131.869653748836,3131.869653748836,3131.869653748836,1537.7479999906784,1537.7479999906784,1537.7479999906784
76457699010538,59792161010538,2001,39,83,604,3,150,1.0,2001,1,12.2,12.2,742.0,3,5,4,8,29,N,1,6.326833333333333,65.7332676,32.2750343916,0.4090625,12.288801724137931,12.288801724137931,12.288801724137931,,,,,,,2007-11-19 11:54:49,2025-01-13 08:35:14,9,,,,,,77.749200375,77.749200375,77.749200375,807.7830922161,807.7830922161,807.7830922161,396.6214982781051,396.6214982781051,396.6214982781051
76457700010538,59792161010538,2001,39,83,604,3,150,2.0,2001,1,14.0,14.0,742.0,3,3,3,5,13,N,1,1.2053708333333333,12.52332081,6.14895051771,0.27270833333333333,27.41348076923077,27.41348076923077,27.41348076923077,,,,,,,2007-11-19 11:54:49,2025-01-13 08:35:14,9,,,,,,33.043410159375,33.043410159375,33.043410159375,343.3078141918425,343.3078141918425,343.3078141918425,168.56413676819466,168.56413676819466,168.56413676819466
76457694010538,59792161010538,2001,39,83,604,1,270,1.0,2001,1,14.0,14.0,129.0,2,7,4,8,12,N,1,2.618,45.878921088,23.902917886848,0.4090625,29.6979375,29.6979375,29.6979375,,,,,,,2007-11-19 11:54:49,2025-01-13 08:35:14,9,,,,,,77.749200375,77.749200375,77.749200375,1362.509331038856,1362.509331038856,1362.509331038856,709.867361471244,709.867361471244,709.867361471244
76457497010538,59792877010538,2001,39,87,319,1,150,1.0,2001,1,16.0,16.0,621.0,4,4,3,4,20,N,1,1.3635416666666667,12.014002,5.898874982,0.23861979166666666,17.8187625,17.8187625,17.8187625,,,,,,,2007-11-19 11:54:49,2025-01-13 08:35:15,9,,,,,,24.2966251171875,24.2966251171875,24.2966251171875,214.074648312525,214.074648312525,214.074648312525,105.11065232144978,105.11065232144978,105.11065232144978
76457431010538,59792877010538,2001,39,87,319,3,150,1.0,2001,1,2.5,2.5,,5,4,,,32,,,2.7925333333333335,38.057091072,19.256888082432,0.27270833333333333,11.1367265625,11.1367265625,11.1367265625,,,,,,,2007-11-19 11:54:49,2025-01-13 08:35:15,9,,,,,,31.09968015,31.09968015,31.09968015,423.831417033024,423.831417033024,423.831417033024,214.45869701871015,214.45869701871015,214.45869701871015
76457432010538,59792877010538,2001,39,87,319,3,150,2.0,2001,1,6.0,6.0,132.0,3,5,3,10,36,N,1,10.701075,213.34519206,111.15284506326,0.4431510416666667,9.8993125,9.8993125,9.8993125,,,,,,,2007-11-19 11:54:49,2025-01-13 08:35:15,9,,,,,,105.9332855109375,105.9332855109375,105.9332855109375,2111.9707265744587,2111.9707265744587,2111.9707265744587,1100.336748545293,1100.336748545293,1100.336748545293
