CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,CONDID,MEASYEAR,SMALLCT,MEDIUMCT,LARGECT,RSNCTCD,PILESCD,SMALL_TL_COND,SMALL_TL_PLOT,SMALL_TL_UNADJ,MEDIUM_TL_COND,MEDIUM_TL_PLOT,MEDIUM_TL_UNADJ,LARGE_TL_COND,LARGE_TL_PLOT,LARGE_TL_UNADJ,CREATED_DATE,MODIFIED_DATE,FWD_STATUS_CD,FWD_NONSAMPLE_REASN_CD,FWD_SAMPLE_METHOD,SLOPE
76438742010538,59780449010538,2001,39,1,561,150,1,1,2001,11,0,0,0,0,39.70655056110898,39.70655056110898,39.70655056110898,39.70655056110898,39.70655056110898,39.70655056110898,40.41082921444679,40.41082921444679,40.41082921444679,2007-11-19 11:54:48,2025-01-13 08:35:15,,,1,
76438741010538,59780449010538,2001,39,1,561,150,2,1,2001,25,0,0,0,0,39.70655056110898,39.70655056110898,39.70655056110898,39.70655056110898,39.70655056110898,39.70655056110898,40.41082921444679,40.41082921444679,40.41082921444679,2007-11-19 11:54:48,2025-01-13 08:35:15,,,1,
76438740010538,59780449010538,2001,39,1,561,150,3,1,2001,11,2,0,0,0,39.70655056110898,39.70655056110898,39.70655056110898,39.70655056110898,39.70655056110898,39.70655056110898,40.41082921444679,40.41082921444679,40.41082921444679,2007-11-19 11:54:48,2025-01-13 08:35:15,,,1,
76438739010538,59780449010538,2001,39,1,561,150,4,1,2001,18,3,0,0,0,39.70655056110898,39.70655056110898,39.70655056110898,39.70655056110898,39.70655056110898,39.70655056110898,40.41082921444679,40.41082921444679,40.41082921444679,2007-11-19 11:54:48,2025-01-13 08:35:15,,,1,
76438918010538,59781089010538,2001,39,7,120,150,1,1,2001,10,4,2,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,2007-11-19 11:54:48,2025-01-13 08:35:15,,,1,
76438917010538,59781089010538,2001,39,7,120,150,2,1,2001,11,6,1,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,2007-11-19 11:54:48,2025-01-13 08:35:15,,,1,
76438916010538,59781089010538,2001,39,7,120,150,3,1,2001,32,3,6,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,2007-11-19 11:54:48,2025-01-13 08:35:15,,,1,
76438915010538,59781089010538,2001,39,7,120,150,4,1,2001,26,8,2,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,2007-11-19 11:54:48,2025-01-13 08:35:15,,,1,
76438766010538,59782247010538,2001,39,9,598,150,1,1,2001,5,0,1,0,0,39.8058067569092,39.8058067569092,39.8058067569092,39.8058067569092,39.8058067569092,39.8058067569092,40.27187054032676,40.27187054032676,40.27187054032676,2007-11-19 11:54:48,2025-01-13 08:35:15,,,1,
76438765010538,59782247010538,2001,39,9,598,150,2,1,2001,32,18,3,0,0,39.8058067569092,39.8058067569092,39.8058067569092,39.8058067569092,39.8058067569092,39.8058067569092,40.27187054032676,40.27187054032676,40.27187054032676,2007-11-19 11:54:48,2025-01-13 08:35:15,,,1,
76438764010538,59782247010538,2001,39,9,598,150,3,1,2001,16,5,0,0,0,39.8058067569092,39.8058067569092,39.8058067569092,39.8058067569092,39.8058067569092,39.8058067569092,40.27187054032676,40.27187054032676,40.27187054032676,2007-11-19 11:54:48,2025-01-13 08:35:15,,,1,
