CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,TRANSECT,SEGMNT,MEASYEAR,CONDID,SLOPE_BEGNDIST,SLOPE_ENDDIST,SLOPE,HORIZ_LENGTH,HORIZ_BEGNDIST,HORIZ_ENDDIST,CREATED_DATE,MODIFIED_DATE,SEGMNT_STATUS_CD,SEGMNT_NONSAMPLE_REASN_CD,TRANSECT_LENGTH
76460432010538,59780449010538,2001,39,1,561,1,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460433010538,59780449010538,2001,39,1,561,1,270,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460435010538,59780449010538,2001,39,1,561,2,30,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460434010538,59780449010538,2001,39,1,561,2,150,1,2001,1,0.0,24.475293665245,20,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460437010538,59780449010538,2001,39,1,561,3,30,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460436010538,59780449010538,2001,39,1,561,3,150,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460438010538,59780449010538,2001,39,1,561,4,150,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460439010538,59780449010538,2001,39,1,561,4,270,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460839010538,59781089010538,2001,39,7,120,1,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460840010538,59781089010538,2001,39,7,120,1,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460842010538,59781089010538,2001,39,7,120,2,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460841010538,59781089010538,2001,39,7,120,2,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460844010538,59781089010538,2001,39,7,120,3,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460843010538,59781089010538,2001,39,7,120,3,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460845010538,59781089010538,2001,39,7,120,4,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460846010538,59781089010538,2001,39,7,120,4,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460482010538,59782247010538,2001,39,9,598,1,150,1,2001,1,0.0,24.475293665245,20,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460483010538,59782247010538,2001,39,9,598,1,270,1,2001,1,0.0,24.268498099388,15,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460485010538,59782247010538,2001,39,9,598,2,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460484010538,59782247010538,2001,39,9,598,2,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460487010538,59782247010538,2001,39,9,598,3,30,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460486010538,59782247010538,2001,39,9,598,3,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460489010538,59782247010538,2001,39,9,598,4,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460490010538,59782247010538,2001,39,9,598,4,270,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460499010538,59784375010538,2001,39,25,401,1,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460500010538,59784375010538,2001,39,25,401,1,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460502010538,59784375010538,2001,39,25,401,2,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460501010538,59784375010538,2001,39,25,401,2,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460504010538,59784375010538,2001,39,25,401,3,30,1,2001,2,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460503010538,59784375010538,2001,39,25,401,3,150,1,2001,2,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460505010538,59784375010538,2001,39,25,401,4,150,1,2001,1,0.0,24.268498099388,15,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460506010538,59784375010538,2001,39,25,401,4,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460665010538,59784920010538,2001,39,29,606,1,150,1,2001,1,0.0,24.268498099388,15,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460666010538,59784920010538,2001,39,29,606,1,270,1,2001,1,0.0,24.268498099388,15,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460669010538,59784920010538,2001,39,29,606,2,30,1,2001,2,0.0,25.056735621385,30,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460667010538,59784920010538,2001,39,29,606,2,150,1,2001,2,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460671010538,59784920010538,2001,39,29,606,3,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460670010538,59784920010538,2001,39,29,606,3,150,1,2001,1,0.0,24.738633753706,25,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460672010538,59784920010538,2001,39,29,606,4,150,1,2001,1,0.0,24.268498099388,15,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460673010538,59784920010538,2001,39,29,606,4,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460855010538,59785584010538,2001,39,35,575,1,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460856010538,59785584010538,2001,39,35,575,1,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460858010538,59785584010538,2001,39,35,575,2,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460857010538,59785584010538,2001,39,35,575,2,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460860010538,59785584010538,2001,39,35,575,3,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460859010538,59785584010538,2001,39,35,575,3,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460861010538,59785584010538,2001,39,35,575,4,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460862010538,59785584010538,2001,39,35,575,4,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460690010538,59786192010538,2001,39,41,574,1,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460691010538,59786192010538,2001,39,41,574,1,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460694010538,59786192010538,2001,39,41,574,2,30,1,2001,3,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460693010538,59786192010538,2001,39,41,574,2,150,1,2001,3,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460696010538,59786192010538,2001,39,41,574,3,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460695010538,59786192010538,2001,39,41,574,3,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460697010538,59786192010538,2001,39,41,574,4,150,1,2001,2,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460698010538,59786192010538,2001,39,41,574,4,270,1,2001,2,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:13,,,
76460416010538,59787135010538,2001,39,53,778,1,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460417010538,59787135010538,2001,39,53,778,1,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460419010538,59787135010538,2001,39,53,778,2,30,1,2001,1,0.0,25.056735621385,30,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460418010538,59787135010538,2001,39,53,778,2,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460421010538,59787135010538,2001,39,53,778,3,30,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460420010538,59787135010538,2001,39,53,778,3,150,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460422010538,59787135010538,2001,39,53,778,4,150,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460423010538,59787135010538,2001,39,53,778,4,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460507010538,59788852010538,2001,39,61,506,1,150,1,2001,1,0.0,24.475293665245,20,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460508010538,59788852010538,2001,39,61,506,1,270,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460510010538,59788852010538,2001,39,61,506,2,30,1,2001,1,0.0,24.268498099388,15,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460509010538,59788852010538,2001,39,61,506,2,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460513010538,59788852010538,2001,39,61,506,3,30,1,2001,2,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460511010538,59788852010538,2001,39,61,506,3,150,1,2001,2,0.0,4.0,0,4.0,0.0,4.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460512010538,59788852010538,2001,39,61,506,3,150,2,2001,1,4.0,24.223748416157,15,20.0,4.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460514010538,59788852010538,2001,39,61,506,4,150,1,2001,1,0.0,24.738633753706,25,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460515010538,59788852010538,2001,39,61,506,4,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460657010538,59789167010538,2001,39,67,363,1,150,1,2001,1,0.0,25.056735621385,30,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460658010538,59789167010538,2001,39,67,363,1,270,1,2001,1,0.0,24.738633753706,25,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460660010538,59789167010538,2001,39,67,363,2,30,1,2001,2,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460659010538,59789167010538,2001,39,67,363,2,150,1,2001,2,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460662010538,59789167010538,2001,39,67,363,3,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460661010538,59789167010538,2001,39,67,363,3,150,1,2001,1,0.0,24.738633753706,25,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460663010538,59789167010538,2001,39,67,363,4,150,1,2001,1,0.0,25.056735621385,30,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460664010538,59789167010538,2001,39,67,363,4,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460491010538,59790455010538,2001,39,73,197,1,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460492010538,59790455010538,2001,39,73,197,1,270,1,2001,1,0.0,25.056735621385,30,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460494010538,59790455010538,2001,39,73,197,2,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460493010538,59790455010538,2001,39,73,197,2,150,1,2001,1,0.0,24.738633753706,25,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460496010538,59790455010538,2001,39,73,197,3,30,1,2001,1,0.0,27.390509305232,55,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460495010538,59790455010538,2001,39,73,197,3,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460497010538,59790455010538,2001,39,73,197,4,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460498010538,59790455010538,2001,39,73,197,4,270,1,2001,1,0.0,25.056735621385,30,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:11,,,
76460682010538,59792161010538,2001,39,83,604,1,150,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460683010538,59792161010538,2001,39,83,604,1,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460685010538,59792161010538,2001,39,83,604,2,30,1,2001,1,0.0,25.427544120501,35,24.0,0.0,24.0,2007-11-19 11:54:48,2025-01-13 08:35:12,,,
76460684010538,59792161010538,2001,39,83,604,2,150,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:12,,,
76460687010538,59792161010538,2001,39,83,604,3,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:12,,,
76460686010538,59792161010538,2001,39,83,604,3,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:12,,,
76460688010538,59792161010538,2001,39,83,604,4,150,1,2001,1,0.0,25.427544120501,35,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:12,,,
76460689010538,59792161010538,2001,39,83,604,4,270,1,2001,1,0.0,25.056735621385,30,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:12,,,
76460449010538,59792877010538,2001,39,87,319,1,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460409010538,59792877010538,2001,39,87,319,1,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460411010538,59792877010538,2001,39,87,319,2,30,1,2001,1,0.0,25.056735621385,30,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460410010538,59792877010538,2001,39,87,319,2,150,1,2001,1,0.0,24.475293665245,20,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460413010538,59792877010538,2001,39,87,319,3,30,1,2001,1,0.0,24.738633753706,25,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460412010538,59792877010538,2001,39,87,319,3,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460414010538,59792877010538,2001,39,87,319,4,150,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460415010538,59792877010538,2001,39,87,319,4,270,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460474010538,59796133010538,2001,39,111,537,1,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460475010538,59796133010538,2001,39,111,537,1,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460477010538,59796133010538,2001,39,111,537,2,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460476010538,59796133010538,2001,39,111,537,2,150,1,2001,1,0.0,24.268498099388,15,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460479010538,59796133010538,2001,39,111,537,3,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460478010538,59796133010538,2001,39,111,537,3,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460480010538,59796133010538,2001,39,111,537,4,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460481010538,59796133010538,2001,39,111,537,4,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460847010538,59799485010538,2001,39,133,64,1,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460848010538,59799485010538,2001,39,133,64,1,270,1,2001,1,0.0,25.056735621385,30,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460850010538,59799485010538,2001,39,133,64,2,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460849010538,59799485010538,2001,39,133,64,2,150,1,2001,1,0.0,24.475293665245,20,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460852010538,59799485010538,2001,39,133,64,3,30,1,2001,1,0.0,24.11970149069,10,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460851010538,59799485010538,2001,39,133,64,3,150,1,2001,1,0.0,24.268498099388,15,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460853010538,59799485010538,2001,39,133,64,4,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460854010538,59799485010538,2001,39,133,64,4,270,1,2001,1,0.0,24.268498099388,15,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460424010538,59801189010538,2001,39,145,33,1,150,1,2001,1,0.0,27.988569095257,60,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460425010538,59801189010538,2001,39,145,33,1,270,1,2001,1,0.0,24.268498099388,15,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
76460427010538,59801189010538,2001,39,145,33,2,30,1,2001,1,0.0,27.390509305232,55,24.0,0.0,24.0,2007-11-19 11:54:49,2025-01-13 08:35:13,,,
