CN,INVYR,LICHEN_REGION,LICH_SPPCD,MEASYEAR,LICHEN_REGION_DESCR,SPP_ACRONYM,GENUS,SUM_ABUNDANCE,FREQUENCY_PCT,SPECIES,PLOTS_IN_REGION,CREATED_DATE,MODIFIED_DATE
43859271020004,2007,3,8201,2007,Interior West                           ,Xancan,Xanthoria                               ,7.0,2,candelaria                              ,136,2012-06-19 19:10:09,
43859272020004,2007,3,8203,2007,Interior West                           ,Xanfal,Xanthomendoza                           ,114.0,30,fallax                                  ,136,2012-06-19 19:10:09,
43859273020004,2007,3,8207,2007,Interior West                           ,Xanpol,Xanthoria                               ,11.0,3,polycarpa                               ,136,2012-06-19 19:10:09,
43859274020004,2007,3,8210,2007,Interior West                           ,Xanful,Xanthomendoza                           ,17.0,5,fulva                                   ,136,2012-06-19 19:10:09,
43859275020004,2007,3,8214,2007,Interior West                           ,Xanmon,Xanthomendoza                           ,156.0,39,montana                                 ,136,2012-06-19 19:10:09,
43859276020004,2007,3,8215,2007,Interior West                           ,Xanore,Xanthomendoza                           ,1.0,1,oregana                                 ,136,2012-06-19 19:10:09,
43859277020004,2007,3,8219,2007,Interior West                           ,Xangal,Xanthomendoza                           ,47.0,13,galericulata                            ,136,2012-06-19 19:10:09,
43859278020004,2007,3,8301,2007,Interior West                           ,Cndcon,Candelaria                              ,20.0,6,concolor                                ,136,2012-06-19 19:10:09,
43859279020004,2007,3,8303,2007,Interior West                           ,Cndpac,Candelaria                              ,21.0,6,pacifica                                ,136,2012-06-19 19:10:09,
43859280020004,2007,3,8502,2007,Interior West                           ,Rhimel,Rhizoplaca                              ,6.0,1,melanophthalma                          ,136,2012-06-19 19:10:09,
43859281020004,2007,3,9000,2007,Interior West                           ,Xpm   ,Xanthoparmelia                          ,11.0,3,,136,2012-06-19 19:10:09,
43859282020004,2007,3,9003,2007,Interior West                           ,Xpmcol,Xanthoparmelia                          ,4.0,1,coloradensis                            ,136,2012-06-19 19:10:09,
43858930020004,2008,3,101,2008,Interior West                           ,Ahtsph,Ahtiana                                 ,1.0,1,sphaerosporella                         ,129,2012-06-19 19:09:51,
43858931020004,2008,3,202,2008,Interior West                           ,Aleims,Alectoria                               ,16.0,5,imshaugii                               ,129,2012-06-19 19:09:51,
43858932020004,2008,3,205,2008,Interior West                           ,Alesar,Alectoria                               ,45.0,14,sarmentosa                              ,129,2012-06-19 19:09:51,
43858933020004,2008,3,603,2008,Interior West                           ,Brycap,Bryoria                                 ,25.0,7,capillaris                              ,129,2012-06-19 19:09:51,
43858934020004,2008,3,607,2008,Interior West                           ,Bryfre,Bryoria                                 ,27.0,6,fremontii                               ,129,2012-06-19 19:09:51,
43858935020004,2008,3,610,2008,Interior West                           ,Bryfus,Bryoria                                 ,107.0,29,fuscescens                              ,129,2012-06-19 19:09:51,
43858936020004,2008,3,618,2008,Interior West                           ,Brypse,Bryoria                                 ,25.0,6,pseudofuscescens                        ,129,2012-06-19 19:09:51,
43858937020004,2008,3,620,2008,Interior West                           ,Brysim,Bryoria                                 ,11.0,3,simplicior                              ,129,2012-06-19 19:09:51,
43858938020004,2008,3,1004,2008,Interior West                           ,Cetcan,Cetraria                                ,12.0,3,canadensis                              ,129,2012-06-19 19:09:51,
43858939020004,2008,3,1005,2008,Interior West                           ,Cetchl,Cetraria                                ,46.0,12,chlorophylla                            ,129,2012-06-19 19:09:51,
43858940020004,2008,3,1007,2008,Interior West                           ,Cetcor,Tuckermanella                           ,2.0,1,coralligera                             ,129,2012-06-19 19:09:51,
43858941020004,2008,3,1008,2008,Interior West                           ,Cetfen,Tuckermanella                           ,24.0,6,fendleri                                ,129,2012-06-19 19:09:51,
43858942020004,2008,3,1011,2008,Interior West                           ,Cetmer,Cetraria                                ,23.0,7,merrillii                               ,129,2012-06-19 19:09:51,
43858943020004,2008,3,1013,2008,Interior West                           ,Cetorb,Cetraria                                ,36.0,9,orbata                                  ,129,2012-06-19 19:09:51,
43858944020004,2008,3,1015,2008,Interior West                           ,Cetpin,Cetraria                                ,11.0,3,pinastri                                ,129,2012-06-19 19:09:51,
43858945020004,2008,3,1016,2008,Interior West                           ,Cetpla,Cetraria                                ,27.0,8,platyphylla                             ,129,2012-06-19 19:09:51,
43858946020004,2008,3,1210,2008,Interior West                           ,Clachl,Cladonia                                ,7.0,2,chlorophaea                             ,129,2012-06-19 19:09:51,
43858947020004,2008,3,1228,2008,Interior West                           ,Claoch,Cladonia                                ,15.0,5,ochrochlora                             ,129,2012-06-19 19:09:51,
43858948020004,2008,3,1233,2008,Interior West                           ,Clapyx,Cladonia                                ,3.0,1,pyxidata                                ,129,2012-06-19 19:09:51,
43858949020004,2008,3,1236,2008,Interior West                           ,Clasqu,Cladonia                                ,3.0,1,squamosa                                ,129,2012-06-19 19:09:51,
43858950020004,2008,3,1239,2008,Interior West                           ,Clasul,Cladonia                                ,2.0,2,sulphurina                              ,129,2012-06-19 19:09:51,
43858951020004,2008,3,1241,2008,Interior West                           ,Claumb,Cladonia                                ,3.0,1,umbricola                               ,129,2012-06-19 19:09:51,
43858952020004,2008,3,1403,2008,Interior West                           ,Colcon,Collema                                 ,10.0,3,conglomeratum                           ,129,2012-06-19 19:09:51,
43858953020004,2008,3,2301,2008,Interior West                           ,Essida,Esslingeriana                           ,6.0,2,idahoensis                              ,129,2012-06-19 19:09:51,
43858954020004,2008,3,2401,2008,Interior West                           ,Evediv,Evernia                                 ,3.0,1,divaricata                              ,129,2012-06-19 19:09:51,
43859815020004,2004,3,101,2004,Interior West                           ,Ahtsph,Ahtiana                                 ,4.0,1,sphaerosporella                         ,251,2012-06-19 19:11:05,
43859816020004,2004,3,202,2004,Interior West                           ,Aleims,Alectoria                               ,30.0,5,imshaugii                               ,251,2012-06-19 19:11:05,
43859817020004,2004,3,205,2004,Interior West                           ,Alesar,Alectoria                               ,60.0,8,sarmentosa                              ,251,2012-06-19 19:11:05,
43859818020004,2004,3,600,2004,Interior West                           ,Bry   ,Bryoria                                 ,1.0,0,,251,2012-06-19 19:11:05,
